id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
610191720022762372,Refugio de montaña El Desafío,entire_home,,San Martin de los Andes,-40.15803,-71.28444,"['5 camas', '3 dormitorios', '2 baños', '1 cama queen', '4 camas de una plaza', 'Estacionamiento gratis', 'Wifi']",2023-07-01,2023-07-06,,$175 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
31949732,"CABAÑA ESTILO KEY WEST, EN PATAGONIA",entire_home,"4,56 (46)",Dina Huapi,-41.06626,-71.15943,"['4 camas', '2 dormitorios', '1 baño', '1 cama doble', '3 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,4 de 5 en limpieza']",2023-07-17,2023-07-22,,$70 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
46318875,A LOS PIES DEL ARROYO,entire_home,"4,96 (23)",San Martin de los Andes,-40.13588,-71.28457,"['1 cama', '1 dormitorio', '1 baño', '1 cama queen', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$70 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
30204479,La casa de Ni,entire_home,"4,95 (97)",Bariloche,-41.152805,-71.415619,"['2 camas', '1 dormitorio', '1 ,5 baños', '1 cama doble', '1 cama de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,$99 USD,$117 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
17379425,Unica. Casa de Diseño. Cálida y Moderna.,entire_home,"4,96 (98)",San Carlos de Bariloche,-41.15411,-71.41605,"['2 camas', '2 dormitorios', '1 ,5 baños', '1 cama doble', '1 cama de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-08-21,2023-08-26,,$170 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
667947519113196961,Hermoso Depto a metros del centro de la ciudad.,entire_home,"4,91 (68)",Villa La Angostura,-40.76334,-71.64023,"['3 camas', '1 dormitorio', '1 baño', '1 cama queen', '2 sofás cama', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-07-01,2023-07-06,,$70 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
15469412,Casa de campo en la montaña Bariloche,entire_home,"4,91 (104)",San Carlos de Bariloche,-41.11119,-71.44352,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-08-25,2023-08-30,,$55 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
589640646255964241,Cálida casa sobre el lago para hasta 7 pax,entire_home,"5,0 (12)",San Carlos de Bariloche,-41.045878,-71.50942,"['7 camas', '5 dormitorios', '2 baños', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-31,2023-08-06,$219 USD,$247 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
734877502966665498,Casa Bosque,entire_home,,San Martín de los Andes,-40.12236,-71.29041,"['3 camas', '2 dormitorios', '2 baños', '1 cama queen', '2 camas de una plaza', 'Estacionamiento gratis', 'Wifi']",2023-07-01,2023-07-06,,$110 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
14373763,Depto Malbec Céntrico c/parrilla y pileta,entire_home,"4,76 (135)",San Martin de los Andes,-40.15491,-71.34487,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Wifi', 'Calificado con 4,7 de 5 en limpieza']",2023-07-10,2023-07-17,,$59 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
